### gwbasic_000.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
421 | JAZ | ARCADE | N | 421
472 | STORM FIGHTERS | ARCADE | N | 422
423 | EL CUBO MAGICO | JUEGO DE MESA | 2 | 423
424 | BULLS EYE | JUEGO DE MESA | 4 | 424
425 | STOCK MARKET | ESTRATEGIA | 4 | 425
426 | THE ORACLES CAVE | CONUERSACIONAL | 6 | 426
47 | HEATHROW | SIMULADOR | 3 | 4
428 | BLADE ALLEY | ARCADE | 6 | 428
429 | DRAGON S BANE | CONUERSACIONAL | 1 | 429
480 | HEAD OVER HEELS | UIDEQAVENTURA |  | 480
481 | SPIRITS | UIDEQAVENTURA |  | 481
482 | AUFWIEDERSEHEN MONTY. | ARCADE |  | 482
483 | SUPERSOCCER | ARCADE |  | 483
484 | HEAUY OF THE MAGIC | CONUERSACIONAL |  | 484
485 | ROBOT MESSIAH | UIDEQAVENTURA |  | 485
486 | MS. PAC-MAN | ARCADE |  | 486

### gwbasic_027.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
